ID,SUBJECT
b710b8aa-797e-474a-936b-5786719f375c,Meet the Humans of Coalesce: Outing #1
98909798-5b9a-4508-a46e-2aa8a1c0d01d,"dbt v0.20.0, DAG in the IDE, and the mysteries of toast 🍞"
055e2367-dc00-4fcf-a1f6-4f331508bc11, The Coalesce Agenda is Now Live!
7df2ffb9-5539-454d-a30f-ee0f24dc8b8b,Welcome back to the dbt product update 👩‍🎤
becf76f9-6700-493b-960b-f5f871ec46b7,Your dbt Cloud product update: August 2022 🏕️
4651cf57-fbdc-4fbf-ba33-3c19b629a176,Metrics and hat tricks 🎩 : Your October dbt product update!
5d218bd5-600a-42cf-969b-96b97a65a63b,Meet the Humans of Coalesce #7
f5b360ea-a7b5-48f4-946d-c00c6a76f865,"60 day countdown, Coalesce freebies, and snacks"
1c23cc9b-dffa-4620-819c-7d2ed4f29a28,Meet the Humans of Coalesce #7
3ee0d035-bb27-455b-abc0-7ae2ca546270,Meet the Humans of Coalesce #5
eec84a85-f78f-49e4-b6e0-06479697d59e,dbt Product Update: Sept 2021
707cb98e-b024-4a44-abe2-352b0000c49b,Thank you for joining Coalesce 2021! Was it useful? Entertaining? Take the survey!💜
f28c10ec-d480-4b4d-b71a-42c7728289d0,Coalesce Day 5: Getting meta and eating data 🍪
508d1198-9499-46eb-a68c-16f3c27b2a82, Coalesce Wrapped 2021? IYKYK
9ac96c91-95fb-4f90-8222-800394e0ced1,A Vibe Boost for 2022: Re-Live Moments From Coalesce
d846106f-6ffa-4be7-8f5b-c47a5f826036,Catching Up On Coalesce Over The Holidays?
bbf04df3-bbf4-49ff-abfc-23431605740a,dbt Product Update: December 2021 ❄️
c54282a3-aac3-4473-828b-68a2bb2b7949,"So, what did you think of Coalesce? "
9fdce090-c5b2-4f65-b271-7728df92572a,dbt Product Update: June 2021
8c0d52a0-9b5c-4f5c-9637-fa9eda86acac,"New Name, New $$"
1de6ed82-38b1-4b62-bb51-9eac8b285bdd,Registration for Coalesce 2022 is now open! 
37b01175-49a7-466b-8f40-f6e66ba85108,dbt April product update 🏎️
9f28f4b1-e4a5-49e3-9aa4-33a77833d59c,"Are you joining us this year, too?"
f16404c5-4c54-4428-a0e3-5f119d1da07a,Your July dbt product update 🐊
fb15a29b-103c-400d-891b-130788d26f3e,dbt May product update 🍞
1501b1e2-80d3-4146-9a1b-7c1b2b0e1ec7,Meet the Humans of Coalesce #8
178b6ff5-c8db-4ca5-8ef5-8e7d4f873000,NEW POLICY for version support: Preparing for dbt v1.0
8fb2bcc8-5af4-46c0-b81e-ac958d7fdbcf,Attendee checklist: how to prepare for the big week
b01c02cf-150c-4923-a96c-e8fcacbe422a,Your suggested sessions!
2afb82c7-d6d9-458a-81ba-c96727286d84,"Survey results, a roadmap, and templates from dbt Cloud users"
66a01ffe-9a99-42e3-94cd-8c60d9370ddc,Meet the Humans of Coalesce #4
1a8f5fda-c44b-4da3-bcd6-c2c6575f0a08,Meet the Humans of Coalesce #3
172bf1b6-d3d6-472e-9794-177967d26385,Will I see you at the dbt 101 session?
b51da100-690d-4010-a125-6dd6fa8e248e,dbt March product update 🚀
ad717fc4-faac-46ab-8bea-1a1999774e19,"Coalesce Day 4 EMEA Recap: Data mesh, data dream teams, and data modeling at scale 🌀"
e094d4ae-4d25-47da-82df-592eb68a2a22,"Coalesce Day 4: Data Mesh, Dream Teams, and Tina Turner ⚡"
b5e9b6fd-9072-4922-91db-154917818ff2,"Coalesce Day 3: Product keynote, metrics on metrics, and Duke Caboom"
e8ae4323-d670-448c-91e4-83a3ac27bb4b,"Coalesce Day 2 Recap: A funeral, an outage, & the good old days"
291b422e-5274-432d-9e41-45293d28f3d2,"Coalesce Day 3 Recap: Marie Antoinette, ML, and More Metrics"
454f6ca1-d4c2-4a90-99d6-026b70da7b31,Coalesce Day 2: Full agenda + session summaries 
92318adb-b88b-41b2-8735-6ca1efda5580,Coalesce Day 1: Meet your session guide (it's me 😀)
994b91c4-53fd-44a4-abcc-b2e3e29ee5ae,Coalesce 2021: How to Watch & Attendee Checklist
28f0df26-9c8f-4f11-a119-57b996998671,"Coalesce Day 1 Recap: Recordings, Slides, and Slack chats! 💥 "
104e47de-7483-4919-a82e-48ddfcb5e4a5,Meet the Humans of Coalesce #2
1919bad4-b325-44e9-b7a9-6d436c47c48a,Join us for a live session of dbt 101 
c9106e50-516d-4bfb-be4a-139bd15b2542,Are you joining us at Coalesce in October? 💜
88c7057c-966d-4ff6-a38e-90e1266cdc56,dbt Product Update: 🌊 Nov 2021
99dd35e7-3c5c-440b-b4ec-d6b7b3a583d7,Your October dbt Product Update + Coalesce in 3 days 🙌
6a08648e-59f6-4752-80ca-aafdc1a84d5d,Last chance: Monday is the big day
57c767aa-84bd-4871-95ff-a9ca0ecd5997,Coalesce Online+ touching down in London
baf0701b-e710-4930-9f1b-3e0ca6bcf792,A closer look at Coalesce Hub and Coalesce Online
